Front,Back
"How many samples in the EEG dataset?","14,980 (after outlier removal: 14,976)"
"How many EEG channels?","14"
"What is the EEG sampling rate?","~128 Hz"
"How long is the EEG recording?","~117 seconds (~2 minutes)"
"How many subjects in the dataset?","1 (single-subject study)"
"What is the class balance?","55.12% eyes open / 44.88% eyes closed"
"What is the majority-class baseline accuracy?","0.5512 (55.12%)"
"What is the lag-1 autocorrelation of the EEG channels?","r ≈ 0.997"
"How many label transitions in the whole recording?","23"
"What dataset source did we use?","UCI Machine Learning Repository, dataset #264 (Roesler, 2013)"
"What headset recorded the data?","Emotiv EPOC (consumer-grade 14-channel EEG)"
"What is the picked k under shuffled CV?","k = 1"
"What is the picked k under naive blocked CV?","k = 1"
"What is the picked k under stratified blocked CV?","k = 1"
"What is the KNN accuracy under shuffled CV?","97.3% ± 0.4%"
"What is the KNN accuracy under naive blocked CV?","50.0% ± 10.7%"
"What is the KNN accuracy under stratified blocked CV (the honest number)?","77.8% ± 2.7%"
"What is the headline leakage gap for KNN?","19.5 percentage points (97.3 − 77.8)"
"What is the LDA leakage gap?","5.6 pp"
"What is the PCA→LDA leakage gap?","2.4 pp"
"What is the PCR-as-classifier leakage gap?","2.8 pp"
"What is the k-sweep grid?","{1, 3, 5, 7, 11, 15, 21, 31, 51, 75, 99, 151, 201} — log-spaced, odd-only"
"How many segments do we use in stratified blocked CV?","100 segments"
"How long is each stratified-blocked-CV segment?","~120 samples ≈ 0.9 seconds"
"What outlier removal threshold did we use?","4 standard deviations on any channel (drops 4 of 14,980 samples)"
"What is the train/test split?","Chronological 80/20 with a 64-sample seam gap"
"How is the data z-scored?","Per-channel, using training-partition statistics only"
"What is our data-analysis approach?","Classification"
"What is our chosen model?","K-Nearest Neighbours (KNN)"
"What is our model-selection procedure?","Sweep k over a log-spaced grid 1→201, pick the argmax of mean 5-fold CV accuracy"
"Why classification and not regression?","The label (eyeDetection) is binary categorical — no natural ordering or magnitude — so regression doesn't fit the structure of the target."
